time (min),%CO2 at exit,Removal efficiency at t,Avg. %CO2 btw. t-t1,CO2 loading increment in t-t1,gram of CO2 added,CO2 mass flow rate,cumulative CO2,moles of CO2 in ammonia solution,CO2 concentration in mol/kg solution,CO2 concentration in mol/kg NH3,inlet mole ratio (Y1),outlet mole ratio,(Y1-Y2)+Ln(Y1/Y2),cross-sectional area,height of packed bed (m),pressure P (kpa),inert gas flow rate (kmol/m2/hr),mass transfer coeff. (KGav),moles of ammonia reacted (assuming ABC),total number of moles in solution,moles of ammonia unreacted,moles of ammonia unreacted (new calc.), Ammonia % at t,Ammonia % (new calc.),Ln(ammonia%),ln(mass transfer coeff),Ln (new ammonia%),
0,20.1,0,,0,0,2.76375,0,0,0,0,0.251564455569462,0.251564455569462,,0.0019625,0.5,101.325,7.6413652572593,,0,23.4879624192601,23.4879624192601,23.4879624192601,10,10,2.30258509299405,,,
14,0.1,99.502487562189,0.1,0.99502487562189,38.5,,38.5,0.875,0.240384615384615,2.40384615384615,,0.001001001001001,5.77726219550982,,,,,0.871377658482039,0.875,,22.6129624192601,21.7379624192601,9.62746875,9.2549375,2.26462034079151,-0.137679804275579,2.22515719289623,-0.137679804275579
26,0.1,99.502487562189,0.1,0.99502487562189,33,,71.5,1.625,0.446428571428571,4.46428571428571,,0.001001001001001,5.77726219550982,,,,,0.871377658482039,1.625,,21.8629624192601,20.2379624192601,9.30815625,8.6163125,2.2308910319343,-0.137679804275579,2.15365720892709,-0.137679804275579
37,0.2,99.0049751243781,0.15,0.992537313432836,30.174375,,101.674375,2.31078125,0.634830013736264,6.34830013736264,,0.00200400801603206,5.08211050559775,,,,,0.766528747121187,2.31078125,,21.1771811692601,18.8663999192601,9.0161848828125,8.032369765625,2.1990212826067,-0.265883076975384,2.08347959844662,-0.265883076975384
49,0.2,99.0049751243781,0.2,0.990049751243781,32.835,,134.509375,3.05703125,0.83984375,8.3984375,,0.00200400801603206,5.08211050559775,,,,,0.766528747121187,3.05703125,,20.4309311692601,17.3738999192601,8.6984689453125,7.396937890625,2.16314702687625,-0.265883076975384,2.00106611600768,-0.265883076975384
61,0.3,98.5074626865672,0.25,0.987562189054726,32.7525,,167.261875,3.80140625,1.04434237637363,10.4434237637363,,0.00300902708124373,4.67463787207475,,,,,0.705070129305512,3.80140625,,19.6865561692601,15.8851499192601,8.3815512890625,6.763102578125,2.12603301538832,-0.349458006924882,1.91148174602546,-0.349458006924882
72,0.3,98.5074626865672,0.3,0.985074626865672,29.9475,,197.209375,4.48203125,1.27930105608677,12.7930105608677,,0.00300902708124373,4.67463787207475,,,,,0.705070129305512,4.48203125,,18.2676853129129,13.9282067972879,8.08048521763393,6.16097043526786,2.08945192241734,-0.349458006924882,1.81823430333042,-0.349458006924882
84,0.4,98.0099502487562,0.35,0.982587064676617,32.5875,,229.796875,5.22265625,1.4906968031968,14.906968031968,,0.00401606425702811,4.38494525006994,,,,,0.661376132028002,5.22265625,,17.5270603129129,12.4469567972879,7.7528788864651,5.50575777293019,2.04806424360895,-0.413432566131256,1.70579441245995,-0.413432566131256
95,0.5,97.5124378109453,0.45,0.977611940298507,29.720625,,259.5175,5.898125,1.68349507635222,16.8349507635222,,0.0050251256281407,4.15978811695862,,,,,0.627415946597338,5.898125,,16.8515915629129,12.2541585241325,7.45409361860795,5.42047583547989,2.00876336049094,-0.46614556659393,1.69018360412198,-0.46614556659393
107,0.6,97.0149253731343,0.55,0.972636815920398,32.2575,,291.775,6.63125,1.89275010703582,18.9275010703582,,0.00603621730382294,3.97544993798696,,,,,0.599612435985338,6.63125,,16.1184665629129,12.0449034934489,7.12980481990666,5.32791445437491,1.96428385956437,-0.511471772499566,1.67295987724863,-0.511471772499566
121,0.8,96.0199004975124,0.7,0.965174129353234,37.345,,329.12,7.48,2.13500784929356,21.3500784929356,,0.00806451612903226,3.68372546733827,,,,,0.555611977367874,7.48,,15.2697165629129,11.8026457511911,6.75437072899757,5.22075473098142,1.91018981074384,-0.587685110796739,1.65264197592242,-0.587685110796739
132,1,95.0248756218906,0.9,0.955223880597015,29.04,,358.16,8.14,2.41758241758242,24.1758241758242,,0.0101010101010101,3.45652725789584,,,,,0.521343938796053,8.14,,14.0147925409812,11.0602278419468,6.45059235061919,5.0906940580636,1.86417196389619,-0.651345303792724,1.62741417845005,-0.651345303792724
143,1.4,93.0348258706468,1.2,0.940298507462687,28.58625,,386.74625,8.7896875,2.6105397980398,26.105397980398,,0.0141987829614604,3.11190865988818,,,,,0.469365521192872,8.7896875,,13.3651050409812,10.8672704614894,6.15156050940297,5.00188151240984,1.81670579099787,-0.756373451196818,1.60981414413205,-0.756373451196818
154,1.8,91.044776119403,1.6,0.920398009950249,27.98125,,414.7275,9.425625,2.79941342441342,27.9941342441342,,0.0183299389002037,2.85239802942036,,,,,0.430223838181843,9.425625,,12.7291675409812,10.6783968351158,5.85885738440297,4.91494859735193,1.76795459898,-0.843449651824452,1.59228129522337,-0.843449651824452
165,2.2,89.0547263681592,2,0.900497512437811,27.37625,,442.10375,10.0478125,2.9842032967033,29.842032967033,,0.0224948875255624,2.6434807470132,,,,,0.398713090322438,10.0478125,,12.1069800409812,10.4936069628259,5.57248297561919,4.82989531288986,1.71784073120264,-0.919513192622043,1.57482479307966,-0.919513192622043
180,3.1,84.5771144278607,2.65,0.8681592039801,35.990625,,478.094375,10.86578125,3.22714025839026,32.2714025839026,,0.0319917440660475,2.28179408120184,,,,,0.34416031613749,10.86578125,,11.2890112909812,10.2506700011389,5.19599627798405,4.71807865187556,1.64788838248478,-1.06664769488605,1.5514016514433,-1.06664769488605
192,4.1,79.6019900497512,3.6,0.82089552238806,27.225,,505.319375,11.48453125,3.55503211577155,35.5503211577155,,0.0427528675703858,1.98107455847101,,,,,0.29880314439952,11.48453125,,10.2125986710766,9.50721044100875,4.8991705737587,4.56078292423603,1.5890659201272,-1.20797030235341,1.51749430269999,-1.20797030235341
203,4.9,75.6218905472637,4.5,0.776119402985075,23.595,,528.914375,12.02078125,3.72102809162668,37.2102809162668,,0.0515247108307045,1.78567747146632,,,,,0.269331631702608,12.02078125,,9.67634867107656,9.34121446515362,4.64192163009673,4.48115161525538,1.53512842492143,-1.31181182708497,1.49988007037006,-1.31181182708497
214,5.4,73.134328358209,5.15,0.743781094527363,22.611875,,551.52625,12.5346875,3.88010756848785,38.8010756848785,,0.0570824524312897,1.67768448791858,,,,,0.253043177076217,12.5346875,,9.16244242107656,9.18213498829245,4.39539139242067,4.40483827748227,1.4805565811927,-1.37419514443514,1.48270354531629,-1.37419514443514
225,6.2,69.1542288557214,5.8,0.711442786069652,21.62875,,573.155,13.02625,4.03227054635505,40.3227054635505,,0.0660980810234542,1.52202590079994,,,,,0.229565375554334,13.02625,,8.67087992107656,9.02997201042525,4.15957986073053,4.33184291091668,1.42541407415613,-1.47156742924347,1.46599306599664,-1.47156742924347
237,7.1,64.6766169154229,6.65,0.669154228855721,22.1925,,595.3475,13.530625,4.18839962854047,41.8839962854047,,0.0764262648008611,1.36651101483393,,,,,0.206109248308198,13.530625,,8.16650492107656,8.87384292823983,3.91762193819532,4.25694493149083,1.3654848212972,-1.57934891917546,1.4485517507724,-1.57934891917546
248,7.8,61.1940298507463,7.45,0.629353233830846,19.133125,,614.480625,13.96546875,4.51372616354234,45.1372616354234,,0.0845986984815618,1.2567461162477,,,,,0.189553537821678,13.96546875,,7.38659758286206,8.17356528359403,3.69981637753355,4.09399461116489,1.30828319072505,-1.66308377287491,1.40952117096195,-1.66308377287491
259,8.4,58.2089552238806,8.1,0.597014925373134,18.15,,632.630625,14.37796875,4.64704872333549,46.4704872333549,,0.091703056768559,1.16900492692452,,,,,0.176319637486622,14.37796875,,6.97409758286206,8.04024272380088,3.49320240694532,4.02721569371556,1.25081891059457,-1.73545680901663,1.39307524232109,-1.73545680901663
270,8.8,56.2189054726368,8.6,0.572139303482587,17.39375,,650.024375,14.77328125,4.77481617647059,47.7481617647059,,0.0964912280701754,1.11332036538821,,,,,0.167920800597616,14.77328125,,6.57878508286206,7.91247527066578,3.29519735179826,3.96321923115995,1.19246606048508,-1.78426283574878,1.37705663217355,-1.78426283574878
282,9.4,53.2338308457712,9.1,0.54726368159204,18.15,,668.174375,15.18578125,4.90813873626374,49.0813873626374,,0.103752759381898,1.03350018225334,,,,,0.155881616304798,15.18578125,,6.16628508286206,7.77915271087263,3.08858338121003,3.89644031371061,1.12771253310525,-1.85865842966111,1.36006339626054,-1.85865842966111
294,9.8,51.2437810945274,9.6,0.522388059701493,17.325,,685.499375,15.57953125,5.03540117970265,50.3540117970265,,0.108647450110865,0.98250800914345,,,,,0.148190526840321,15.57953125,,5.77253508286206,7.65189026743372,2.89136095473944,3.83269680159989,1.06172730987194,-1.90925648961854,1.34356868115642,-1.90925648961854
305,10.2,49.2537313432836,10,0.502487562189055,15.27625,,700.775625,15.92671875,5.38519653423499,53.8519653423499,,0.11358574610245,0.933119926777742,,,,,0.140741380495155,15.92671875,,5.17067691744167,6.96451151874988,2.70943470473944,3.64940403582494,0.996740017095322,-1.96083125365885,1.29456387640694,-1.96083125365885
323,10.7,46.7661691542289,10.45,0.480099502487562,23.88375,,724.659375,16.46953125,5.56873415046492,55.6873415046492,,0.119820828667413,0.873445335609443,,,,,0.131740732132074,16.46953125,,4.62786441744167,6.78097390251996,2.42500095473944,3.55323032492046,0.885831918096354,-2.02691943838353,1.267857140415,-2.02691943838353
334,11,45.273631840796,10.85,0.460199004975124,13.990625,,738.65,16.7875,5.67624683009298,56.7624683009298,,0.123595505617978,0.838654009178055,,,,,0.126493197307563,16.7875,,4.30989566744168,6.6734612228919,2.25838532973944,3.49689368079535,0.814650102071467,-2.06756674848535,1.25187505464375,-2.06756674848535
345,11.4,43.2835820895522,11.2,0.442786069651741,13.46125,,752.11125,17.0934375,5.77969146238377,57.7969146238377,,0.128668171557562,0.793358748515287,,,,,0.119661366443571,17.0934375,,4.00395816744168,6.57001659060111,2.09807407973944,3.44268869347498,0.741019819045413,-2.12308947170077,1.23625276303788,-2.12308947170077
356,11.7,41.7910447761194,11.55,0.425373134328358,12.931875,,765.043125,17.38734375,5.87906804733728,58.7906804733728,,0.132502831257078,0.760156852411389,,,,,0.114653563524974,17.38734375,,3.71005191744167,6.4706400056476,1.94406720473944,3.39061536295934,0.664782275779923,-2.16584018839088,1.22101142791591,-2.16584018839088
367,12,40.2985074626866,11.85,0.41044776119403,12.478125,,777.52125,17.6709375,6.26406859269762,62.6406859269762,,0.136363636363636,0.727574946188833,,,,,0.109739272950598,17.6709375,,3.25522500202129,5.78699453694967,1.78827360594912,3.17911345045977,0.581250688505901,-2.20964797257284,1.15660236875957,-2.20964797257284
378,12.2,39.3034825870647,12.1,0.398009950248756,12.1,,789.62125,17.9459375,6.36155175469691,63.6155175469691,,0.138952164009112,0.706181802755012,,,,,0.106512570301128,17.9459375,,2.98022500202129,5.68951137495038,1.63720102530395,3.12556060372274,0.492988091890467,-2.23949226980126,1.13961366029061,-2.23949226980126
389,12.1,39.8009950248756,12.15,0.395522388059702,12.024375,,801.645625,18.21921875,6.45842564693371,64.5842564693371,,0.137656427758817,0.716846342191882,,,,,0.108121090234759,18.21921875,,2.70694375202129,5.59263748271359,1.48707264828783,3.07234246227782,0.396809521891768,-2.2245034740624,1.12244028767821,-2.2245034740624
